year,author,title,average_rating,image_url
2005,Bill Watterson,The Complete Calvin and Hobbes,4.82,https://images.gr-assets.com/books/1473064526m/24812.jpg
2014,Brandon Sanderson,"Words of Radiance (The Stormlight Archive, #2)",4.77,https://images.gr-assets.com/books/1391535251m/17332218.jpg
2003,"J.K. Rowling, Mary GrandPré","Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)",4.77,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1996,Bill Watterson,It's a Magical World: A Calvin and Hobbes Collection,4.75,https://images.gr-assets.com/books/1437420710m/24814.jpg
1996,Bill Watterson,There's Treasure Everywhere: A Calvin and Hobbes Collection,4.74,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1998,J.K. Rowling,"Harry Potter Boxset (Harry Potter, #1-7)",4.74,https://images.gr-assets.com/books/1392579059m/862041.jpg
1993,Francine Rivers,Mark of the Lion Trilogy,4.76,https://images.gr-assets.com/books/1349032180m/95602.jpg
2002,"Anonymous, Lane T. Dennis, Wayne A. Grudem",ESV Study Bible,4.76,https://images.gr-assets.com/books/1410151002m/5031805.jpg
1990,Bill Watterson,The Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury,4.73,https://images.gr-assets.com/books/1391114055m/59715.jpg
2005,J.K. Rowling,"Harry Potter Collection (Harry Potter, #1-6)",4.73,https://images.gr-assets.com/books/1328867351m/10.jpg
1992,Bill Watterson,The Indispensable Calvin and Hobbes,4.73,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2016,Sarah J. Maas,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",4.72,https://images.gr-assets.com/books/1485259138m/17927395.jpg
1992,Bill Watterson,Attack of the Deranged Mutant Killer Monster Snow Goons,4.72,https://images.gr-assets.com/books/1384735429m/70487.jpg
1994,Bill Watterson,Homicidal Psycho Jungle Cat: A Calvin and Hobbes Collection,4.71,https://images.gr-assets.com/books/1448818381m/24816.jpg
1991,Bill Watterson,The Revenge of the Baby-Sat,4.71,https://images.gr-assets.com/books/1384734025m/121792.jpg
2004,The Church of Jesus Christ of Latter-day Saints,Preach My Gospel: A Guide To Missionary Service,4.71,https://images.gr-assets.com/books/1399612262m/2350129.jpg
1993,Bill Watterson,The Days Are Just Packed: A Calvin and Hobbes Collection,4.68,https://images.gr-assets.com/books/1418211162m/24818.jpg
2011,Brandon Sanderson,"The Way of Kings, Part 1 (The Stormlight Archive #1.1)",4.67,https://images.gr-assets.com/books/1357609842m/9329354.jpg
1999,"J.K. Rowling, Mary GrandPré","The Harry Potter Collection 1-4 (Harry Potter, #1-4)",4.66,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1989,Bill Watterson,The Calvin and Hobbes Lazy Sunday Book,4.66,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1992,"Anonymous, Ronald A. Beers, Ronald A. Beers",Life Application Study Bible: NIV,4.67,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2006,Neil Gaiman,"The Absolute Sandman, Volume One",4.65,https://images.gr-assets.com/books/1312226853m/23753.jpg
1988,Bill Watterson,The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,4.65,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2011,"Daniel Abraham, George R.R. Martin, Tommy Patterson","A Game of Thrones: Comic Book, Issue 1",4.65,https://images.gr-assets.com/books/1376738412m/18337259.jpg
2010,Brandon Sanderson,"The Way of Kings (The Stormlight Archive, #1)",4.64,https://images.gr-assets.com/books/1388184640m/7235533.jpg
1995,Bill Watterson,The Calvin and Hobbes Tenth Anniversary Book,4.63,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1915,James E. Talmage,Jesus the Christ,4.63,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2000,George R.R. Martin,"A Song of Ice and Fire (A Song of Ice and Fire, #1-5)",4.63,https://images.gr-assets.com/books/1339340118m/12177850.jpg
2011,George R.R. Martin,"A Song of Ice and Fire (A Song of Ice and Fire, #1-4)",4.63,https://images.gr-assets.com/books/1328046798m/9814682.jpg
2001,Anonymous,The Holy Bible: English Standard Version,4.66,https://images.gr-assets.com/books/1328227151m/5883777.jpg
